Batch 628/1496, Batch Loss: 0.4825, Batch Accuracy: 0.9000
Batch 626/1496, Batch Loss: 0.0020, Batch Accuracy: 1.0000
Batch 627/1496, Batch Loss: 0.1246, Batch Accuracy: 0.9000
Batch 632/1496, Batch Loss: 0.1571, Batch Accuracy: 0.9000
Batch 629/1496, Batch Loss: 0.1388, Batch Accuracy: 0.9000
Batch 630/1496, Batch Loss: 0.5946, Batch Accuracy: 0.9000
Batch 631/1496, Batch Loss: 0.2890, Batch Accuracy: 0.9000
Batch 635/1496, Batch Loss: 0.2570, Batch Accuracy: 0.8000
Batch 633/1496, Batch Loss: 0.0117, Batch Accuracy: 1.0000
Batch 634/1496, Batch Loss: 0.0713, Batch Accuracy: 1.0000
Batch 636/1496, Batch Loss: 0.1545, Batch Accuracy: 0.9000
Batch 637/1496, Batch Loss: 0.3943, Batch Accuracy: 0.9000
Batch 639/1496, Batch Loss: 0.3903, Batch Accuracy: 0.8000
Batch 638/1496, Batch Loss: 0.0081, Batch Accuracy: 1.0000
Batch 640/1496, Batch Loss: 0.0160, Batch Accuracy: 1.0000
Batch 643/1496, Batch Loss: 0.0178, Batch Accuracy: 1.0000
Batch 641/1496, Batch Loss: 0.7735, Batch Accuracy: 0.8000
Batch 642/1496, Batch Loss: 0.0085, Batch Accuracy: 1.0000
Batch 644/1496, Batch Loss: 0.5259, Batch Accuracy: 0.9000
Batch 645/1496, Batch Loss: 0.0633, Batch Accuracy: 1.0000
Batch 646/1496, Batch Loss: 1.0750, Batch Accuracy: 0.8000
Batch 647/1496, Batch Loss: 0.0890, Batch Accuracy: 0.9000
Batch 648/1496, Batch Loss: 0.6769, Batch Accuracy: 0.9000
Batch 649/1496, Batch Loss: 0.0461, Batch Accuracy: 1.0000
Batch 650/1496, Batch Loss: 0.2629, Batch Accuracy: 0.9000
Batch 651/1496, Batch Loss: 0.1100, Batch Accuracy: 0.9000
Batch 652/1496, Batch Loss: 0.3607, Batch Accuracy: 0.8000
Batch 653/1496, Batch Loss: 0.0196, Batch Accuracy: 1.0000
Batch 654/1496, Batch Loss: 0.2372, Batch Accuracy: 0.8000
Batch 656/1496, Batch Loss: 0.1288, Batch Accuracy: 0.9000
Batch 655/1496, Batch Loss: 0.0129, Batch Accuracy: 1.0000
Batch 657/1496, Batch Loss: 0.7121, Batch Accuracy: 0.8000
Batch 660/1496, Batch Loss: 0.5911, Batch Accuracy: 0.9000
Batch 658/1496, Batch Loss: 0.0379, Batch Accuracy: 1.0000
Batch 659/1496, Batch Loss: 0.1803, Batch Accuracy: 0.9000
Batch 661/1496, Batch Loss: 0.2011, Batch Accuracy: 0.9000
Batch 662/1496, Batch Loss: 0.2542, Batch Accuracy: 0.9000
Batch 663/1496, Batch Loss: 0.4066, Batch Accuracy: 0.9000
Batch 664/1496, Batch Loss: 0.0882, Batch Accuracy: 1.0000
Batch 665/1496, Batch Loss: 0.0272, Batch Accuracy: 1.0000
Batch 666/1496, Batch Loss: 0.0028, Batch Accuracy: 1.0000
Batch 667/1496, Batch Loss: 0.0054, Batch Accuracy: 1.0000
Batch 668/1496, Batch Loss: 0.0094, Batch Accuracy: 1.0000
Batch 669/1496, Batch Loss: 0.0443, Batch Accuracy: 1.0000
Batch 671/1496, Batch Loss: 0.2415, Batch Accuracy: 0.9000
Batch 670/1496, Batch Loss: 0.3661, Batch Accuracy: 0.9000
Batch 672/1496, Batch Loss: 0.0138, Batch Accuracy: 1.0000
Batch 673/1496, Batch Loss: 0.4527, Batch Accuracy: 0.9000
Batch 674/1496, Batch Loss: 0.1656, Batch Accuracy: 0.9000
Batch 675/1496, Batch Loss: 0.1186, Batch Accuracy: 0.9000
Batch 676/1496, Batch Loss: 0.6035, Batch Accuracy: 0.9000
Batch 678/1496, Batch Loss: 0.0094, Batch Accuracy: 1.0000
Batch 677/1496, Batch Loss: 0.1249, Batch Accuracy: 0.9000
Batch 680/1496, Batch Loss: 0.0030, Batch Accuracy: 1.0000
Batch 679/1496, Batch Loss: 0.2501, Batch Accuracy: 0.9000
Batch 682/1496, Batch Loss: 0.1126, Batch Accuracy: 0.9000
Batch 681/1496, Batch Loss: 0.0497, Batch Accuracy: 1.0000
Batch 683/1496, Batch Loss: 0.0025, Batch Accuracy: 1.0000
Batch 684/1496, Batch Loss: 0.0128, Batch Accuracy: 1.0000
Batch 685/1496, Batch Loss: 0.0010, Batch Accuracy: 1.0000
Batch 686/1496, Batch Loss: 0.0018, Batch Accuracy: 1.0000
Batch 687/1496, Batch Loss: 0.0024, Batch Accuracy: 1.0000
Batch 688/1496, Batch Loss: 0.2354, Batch Accuracy: 0.9000
Batch 690/1496, Batch Loss: 0.0007, Batch Accuracy: 1.0000
Batch 689/1496, Batch Loss: 0.2902, Batch Accuracy: 0.9000
Batch 691/1496, Batch Loss: 0.0014, Batch Accuracy: 1.0000
Batch 692/1496, Batch Loss: 0.4165, Batch Accuracy: 0.8000
Batch 693/1496, Batch Loss: 0.0007, Batch Accuracy: 1.0000
Batch 695/1496, Batch Loss: 0.2940, Batch Accuracy: 0.9000
Batch 694/1496, Batch Loss: 0.0010, Batch Accuracy: 1.0000
